name;Ca 315.887;Ca 317.933;Co 230.786;Co 231.160;Co 237.863;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 239.563;Fe 258.588;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Sc 335.372;Sc 357.634;Sc 361.383;Масса навески (g);sample_mass;Разбавление
T2-L3P3A2;51.83;52.22;0.1187;0.1756;0.2876;0.3661;-0.0052 uv;0.0131;2132 ox;1502 x;2529 ox;0.5968;0.1115;0.1173;0.087;1.021;1.021;1.02;;;10
T2-L3P3A1;50.51;50.94;0.2125;0.2677;0.3777;0.4947;-0.0044 uv;0.0239;2192 ox;1560 x;2593 ox;0.7523;0.1921;0.2;0.1603;0.989;0.9888;0.988;;;10
T2-L3P3F3B2;290.8;279;0.018;0.0127;;;0.0191;0.0267;198.9;203.4;;0.18;0.1595;0.1792;0.1631;1.004;0.9961;0.9883;102.7;;
T2-L3P3F3A1;49.71;49.98;0.3824;0.4276;0.4903;0.6138;-0.0050 uv;0.0086;2097 ox;1508 x;2502 ox;5.124;4.517;4.602;4.518;1.033;1.031;1.028;;;10
T2-L3P3F3B1;313.5;314.8;0.0207;0.0187;;;0.0103;0.0183;230;236.6;;0.2433;0.2147;0.2391;0.2223;1.01;0.9855;0.981;101.7;;
T2-L3P3F3D1;211.2;207.6;0.2116;0.2008;;;4.626;4.741;137.9;141.6;;11.83;11.74;12.01;11.87;0.9647;0.9344;0.9163;100.6;7.4624;
T2-L3P3F3D2;260.4;248.9;0.3;0.2868;;;4.234;4.309;165.1;168.7;;9.82;9.718;9.83;9.776;0.9874;0.971;0.9676;105;6.2594;
T2-L3P3F3N3B1;223.3;215.1;0.0224;0.0183;;;0.0161;0.0247;230;243.4;;0.2358;0.2083;0.2157;0.2155;0.9721;0.9678;0.9464;100.6;194.4;
T2-L3P3F3N3B2;193.5;186.4;0.0101;0.0066;;;0.0159;0.0217;159.1;163.3;;0.1842;0.164;0.1711;0.17;1.034;1.027;1.019;112;;
T2-L3P3F3N3B2;341.3;348.8;0.0169;0.0112;;;0.0197;0.0283;212.4;227.7;;0.2437;0.2171;0.2368;0.2248;1.002;0.9868;0.9798;101.8;169.1;
T2-L4A1;101.2;102.3;1.706;1.692;1.755;2.505;12.28;12.5;2971 x;2270 x;3931 ox;54.41 x;52.11 x;53.57 x;52.38 x;0.6582;0.6522;0.6756;;;10
