name;Ca;dCa;Co;dCo;Cu;dCu;Fe;dFe;Ni;dNi;Описание;is_solid;;
T15_115_1_1_I;195.26;7.13;0.00;0.00;0.13;0.00;132.83;9.24;0.24;0.01;;True;;
T17_105_2_1_I;189.40;6.50;0.01;0.01;0.14;0.00;73.62;2.34;0.26;0.01;;True;;
T17_115_2_1_F;270.77;10.82;0.01;0.01;0.30;0.01;95.32;2.91;0.62;0.02;;True;;
T15_105_2_1_F;161.11;4.83;0.00;0.00;0.08;0.00;129.62;9.85;0.15;0.01;;True;;
NV_MCP_C;28.34;1.53;0.15;0.08;2.94;0.02;188.92;19.30;4.56;0.07;Камерный продукт атмосферного нитритного выщелачивания из МСП;True;;
NVI_4_1_F;6.95;0.18;0.38;0.18;11.20;0.11;353.08;66.87;31.79;1.35;Концентрат флотации образца NV_1_4;True;;
NVI_4_1_C;31.87;1.54;0.24;0.16;3.96;0.06;396.19;58.55;16.62;0.61;Камерный продукт флотации образца NV_1_4;True;;
T15_105_2_1_I;206.02;7.22;0.00;0.00;0.11;0.00;110.68;6.36;0.19;0.01;;True;;
T17_115_2_1_I;211.48;6.92;0.01;0.00;0.19;0.00;55.12;1.53;0.47;0.01;;True;;
T17_105_2_1_F;195.65;7.52;0.01;0.01;0.20;0.01;94.50;5.43;0.34;0.01;;True;;
T13_110_A_1_F;218.18;7.41;0.02;0.01;0.37;0.01;54.87;1.58;1.19;0.03;эксперименты по нейтрализации разными нейтрализующими агентами а - гидроксид кальция b - карбонат  ab - смесь  F - c фильтрацией ;True;;
T13_110_АБ_1_F;256.04;9.30;0.02;0.02;0.38;0.01;67.78;1.83;1.35;0.03;;True;;
T13_110_A_1_I;201.47;7.49;0.02;0.01;0.24;0.00;77.40;1.94;1.06;0.03;;True;;
T13_110_АБ_1_C;181.68;5.80;0.02;0.01;0.29;0.00;69.61;3.61;1.08;0.03;;True;;
T13_110_A_1_C;175.40;5.04;0.02;0.01;0.20;0.00;96.70;5.40;0.90;0.02;;True;;
T13_110_АБ_1_I;191.36;5.90;0.02;0.02;0.33;0.01;84.25;4.82;1.34;0.03;;True;;
T13_110_БF_1_C;;;0.03;0.04;2.26;0.01;185.00;83.35;1.00;0.01;;True;;
T13_110_AF_1_C;;;0.09;0.02;2.15;0.02;233.21;105.06;4.16;0.05;;True;;
Т13_110_АБf_1_C;;;0.03;0.05;2.34;0.01;202.51;91.89;0.23;0.01;;True;;
T13_110_AF гипс;;;0.02;0.01;0.10;0.00;40.72;17.87;0.83;0.01;;True;;
Т13_110_АБF гипс;;;0.02;0.01;0.14;0.00;43.62;19.09;1.01;0.01;;True;;
Т13_110_af_I;;;0.08;0.02;1.99;0.01;212.38;95.80;3.50;0.05;;True;;
