Метки Образцов;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Ca 393.366;Ca 396.847;Ca 422.673;Cd 214.439;Cd 226.502;Cd 228.802;Co 230.786;Co 231.160;Co 237.863;Co 238.892;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 238.204;Fe 239.563;Fe 258.588;Fe 259.940;Mg 279.553;Mg 279.800;Mg 280.270;Mg 285.213;Mn 257.610;Mn 259.372;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;Pb 405.781;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.432;Si 251.611;Si 252.411;Si 252.851;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 328.233;Zn 334.502;Zn 334.557;Zn 472.215
T2-L5B2;11.07 x;некал ;11.13 x;61,38;62,44;некал ;8.556 o;61,4;0,0018;0,0078;0.0010 uv;0,0461;0,044;0,0196;некал ;0,0393;0,4718;0,4793;144;некал ;некал ;148,5;некал ;некал ;8,305;некал ;7,91;некал ;некал ;0,3075;0,3101;некал ;0,9702;0,9536;0,8957;0,9807;0,9684;0,0681;0,3208;некал ;некал ;некал ;некал ;618,5;1,026;1,013;1,005;5,937;3,089;некал ;6,189;3,479;6,031;0,0916;0,0866;0,103;15.09 x;некал ;некал ;некал 
T2-N5B1;5,628;некал ;5,768;402,1;412,4;некал ;8.090 o;201.8 o;0,003;0,0138;0.0018 uv;0,034;0,0365;0,0249;некал ;0,0306;0,0496;0,0593;235;некал ;некал ;251;некал ;некал ;5,754;некал ;5,67;некал ;некал ;0,2201;0,2243;некал ;0,705;0,671;0,637;0,7026;0,6834;0,0167;0,4717;некал ;некал ;некал ;некал ;432,1;0,9728;0,9734;0,9585;11,34;5,638;некал ;11.85 x;6,493;11.54 x;0,1115;0,1082;0,1331;5,586;некал ;некал ;некал 
T2-L5B1;11.97 x;некал ;12.01 x;66,59;67,73;некал ;8.675 o;66,63;0,0022;0,0096;0,0017;0,0516;0,0494;0,0317;некал ;0,0457;0,5015;0,5119;184,1;некал ;некал ;188,3;некал ;некал ;8,735;некал ;8,327;некал ;некал ;0,3359;0,3408;некал ;1,09;1,064;1,008;1,104;1,084;0,0709;0,4018;некал ;некал ;некал ;некал ;594,1;1,009;1,004;0,9941;11.16 x;5,128;некал ;11.66 x;6,441;11.42 x;0,0501;0,0453;0,0644;15.94 x;некал ;некал ;некал 
T2-5B;18.96 x;некал ;18.57 x;59,11;59,94;некал ;8.639 o;61,18;0,007;0,0397;-0.0003 uv;0,0712;0,0809;0,0593;некал ;0,0802;0,9141;0,9501;747,8;некал ;некал ;746,7;некал ;некал ;11,69;некал ;11,29;некал ;некал ;0,4612;0,4686;некал ;1,611;1,539;1,448;1,572;1,558;0,0606;1,474;некал ;некал ;некал ;некал ;196,6;1,009;1,001;0,9933;10,06;8,738;некал ;10,57;5,714;10,19;0,1592;0,1428;0,2079;22.06 x;некал ;некал ;некал 
T2-F5B1;6,386;некал ;6,526;316,7;305,6;некал ;8.139 o;196.3 o;0,0023;0,0113;0,0022;0,0196;0,0188;0,0112;некал ;0,0148;0,0462;0,0543;208,6;некал ;некал ;218,1;некал ;некал ;3,368;некал ;3,237;некал ;некал ;0,1178;0,1204;некал ;0,3281;0,3034;0,287;0,3148;0,3117;0,0305;0,4;некал ;некал ;некал ;некал ;424,2;0,9947;0,9828;0,9747;3,332;2,646;некал ;3,498;1,949;3,402;0,0796;0,0764;0,0959;7,804;некал ;некал ;некал 
T2-F5B1;8,08;некал ;8,219;461.7 x;472.6 x;некал ;8.082 o;202.6 o;0,0026;0,0132;0.0020 uv;0,0257;0,0266;0,0149;некал ;0,0219;0,0434;0,0524;235;некал ;некал ;244,6;некал ;некал ;4,773;некал ;4,711;некал ;некал ;0,1608;0,1647;некал ;0,576;0,5444;0,5179;0,5804;0,5589;0,021;0,4525;некал ;некал ;некал ;некал ;590,2;0,9705;0,9781;0,9571;13.08 x;6,133;некал ;13.66 x;7,499;13.33 x;0,1008;0,0978;0,1221;8,418;некал ;некал ;некал 
T2-P5B1;6,528;некал ;6,674;275,7;264,9;некал ;7.750 o;183.3 o;0,0025;0,0118;0,0014;0,028;0,0292;0,0176;некал ;0,023;0,2356;0,244;215,7;некал ;некал ;220,1;некал ;некал ;4,174;некал ;4,035;некал ;некал ;0,1407;0,1425;некал ;0,8601;0,8352;0,785;0,8387;0,8398;0,0182;0,4139;некал ;некал ;некал ;некал ;433,3;1,038;1,034;1,028;1,064;1,853;некал ;1,161;0,6098;1,074;0,1356;0,1311;0,1542;6,361;некал ;некал ;некал 
T2-L5S2;1,014;некал ;1,06;26,57;26,47;некал ;8.421 o;27,07;0,001;0,0025;0,001;0,0452;0,0436;0,0374;некал ;0,0385;2,066;2,072;32;некал ;некал ;32,45;некал ;некал ;1,409;некал ;1,33;некал ;некал ;0,035;0,0357;некал ;3,374;3,351;3,174;3,392;3,396;0,0022;0,0628;некал ;некал ;некал ;некал ;476,5;1,062;1,054;1,048;2,992;1,285;некал ;3,14;1,784;3,058;0,1618;0,1434;0,1651;1,045;некал ;некал ;некал 
T2-L4P4F4C4N3B2;4,964;некал ;5,077;339,7;347,3;некал ;8.108 o;197.6 o;0,0022;0,0126;0.0015 uv;0,0267;0,0281;0,0174;некал ;0,0237;0,0218;0,0305;229,5;некал ;некал ;239,2;некал ;некал ;13,93;некал ;13,74;некал ;некал ;0,2261;0,2303;некал ;0,5005;0,4705;0,4454;0,4938;0,4804;0,0281;0,4475;некал ;некал ;некал ;некал ;392,4;0,9813;0,9784;0,971;8,699;4,69;некал ;9,149;5,053;8,878;0,1519;0,1504;0,1746;5,025;некал ;некал ;некал 
T2-L5D2;5,976;некал ;6,122;274,7;264;некал ;8.081 o;191.8 o;0,0029;0,0102;0,0023;0,0632;0,0622;0,0485;некал ;0,0581;1,993;2,014;172,4;некал ;некал ;175,8;некал ;некал ;1,8;некал ;1,696;некал ;некал ;0,0671;0,0683;некал ;3,032;2,997;2,841;3,041;3,053;0,0157;0,3464;некал ;некал ;некал ;некал ;716,7;1,008;0,997;0,9899;2,63;2,135;некал ;2,778;1,55;2,682;0,0938;0,0755;0,1077;7,081;некал ;некал ;некал 
T2-L5D1;6,945;некал ;7,102;291,1;280,6;некал ;8.052 o;192.4 o;0,0035;0,0096;0,0024;0,064;0,062;0,0473;некал ;0,0584;1,67;1,689;148,4;некал ;некал ;152,1;некал ;некал ;1,841;некал ;1,745;некал ;некал ;0,0682;0,0705;некал ;3,284;3,233;3,082;3,293;3,302;0,0126;0,305;некал ;некал ;некал ;некал ;690,1;1;0,9972;0,9895;9,352;4,257;некал ;9,741;5,404;9,5;0,0923;0,0765;0,109;6,279;некал ;некал ;некал 
