Проб;Метки Образцов;Ag 328.068;Ag 338.289;Ca 315.887;Ca 317.933;Ca 393.366;Ca 396.847;Ca 422.673;Co 230.786;Co 231.160;Co 237.863;Co 238.892;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 238.204;Fe 239.563;Fe 258.588;Fe 259.940;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Sc 335.372;Sc 357.634;Sc 361.383
59;T15_310-S;-0.0002 uv;0,0049;57.95 x;54.12 x;29.03 ox;7.244 o;46.26 x;0,098;0,1167;0,0977;-0.5625 uv;0,1362;1,772;1,731;780.2 x;452.1 x;584.0 x;927.1 x;527.8 ox;2,146;2,007;2,049;1,994;1,988;1,001;0,9988;0,9989
60;T15_105_2_1-S;0.0005 uv;0,0174;49.03 x;45.86 x;28.80 ox;7.221 o;41.66 x;0,0372;0,0777;0,0984;-0.8217 uv;0,1235;-0.0275 uv;0,0045;990.0 x;484.1 ox;672.0 x;1232 ox;571.8 ox;0,3073;0,1101;0,1141;0,0951;0,0987;1,007;1,006;1,005
61;T15_115_1_1-S;0,0016;0,0248;60.73 x;56.75 x;31.04 ox;7.710 o;50.97 x;0,028;0,0802;0,1186;-1.039 uv;0,1532;0,0479;0,1787;1151 ox;513.3 ox;735.7 x;1413 ox;626.0 ox;0,4219;0,1493;0,1552;0,1298;0,1341;0,9432;0,942;0,9437
62;T15_105-S;0,0151;0,0371;22.28 x;21.17 x;20.86 x;7.872 o;22.21 x;0,2493;0,2832;0,3509;-1.538 uv;0,5444;2,243;2,284;1276 ox;484.7 ox;722.3 x;1508 ox;606.0 ox;10,37;9,732;9,551;9,494;9,604;0,9424;0,9396;0,9508
63;T15_115-S;0,0202;0,0396;28.18 x;26.56 x;25.71 x;8.687 o;27.59 x;0,3165;0,3483;0,4181;-1.781 uv;0,6498;2,932;2,853;1331 ox;531.3 ox;785.1 x;1684 ox;669.6 ox;12.53 x;11,77;11,47;11,5;11,62;0,8561;0,8507;0,8612
64;BLNK;-0.0016 uv;-0.0020 uv;0,0922;0,1;0,0989;0,0964;0,0998;-0.0009 uv;-0.0011 uv;-0.0011 uv;-0.0011 uv;-0.0015 uv;0,0068;0,0087;9,181;9,442;9,431;9,354;9,538;0,0212;0,021;0,0219;0,0202;0,0206;1,13;1,124;1,121
65;T13_110_a_1-S;0.0001 uv;0,0113;40.95 x;38.56 x;27.65 ox;7.032 o;35.58 x;0,0189;0,0511;0,0636;-0.6989 uv;0,0812;-0.0258 uv;0,0033;867.2 x;460.6 ox;614.1 x;1073 ox;551.4 ox;0,2642;0,114;0,1167;0,0983;0,1057;1,043;1,04;1,039
66;T13_110_b_1-S;0.0003 uv;0,017;44.23 x;41.53 x;28.44 ox;7.185 o;38.37 x;0,1833;0,2102;0,2023;-0.7724 uv;0,2486;-0.0067 uv;0,0523;975.3 x;479.6 ox;667.6 x;1218 ox;571.9 ox;5,658;5,418;5,44;5,341;5,373;1,019;1,017;1,017
67;T13_110_ab_1-S;-0.0003 uv;0,013;43.15 x;40.53 x;27.14 ox;6.872 o;36.87 x;0,1395;0,162;0,1554;-0.6689 uv;0,1929;-0.0161 uv;0,0287;883.3 x;465.7 ox;624.6 x;1092 ox;541.1 ox;3,545;3,363;3,404;3,307;3,327;1,065;1,062;1,062
68;T17_105_2_1-S;-0.0007 uv;0,0078;40.17 x;37.76 x;27.20 ox;6.931 o;34.29 x;0,0257;0,0457;0,054;-0.5326 uv;0,0621;-0.0274 uv;-0.0072 uv;711.4 x;428.2 x;545.4 x;829.4 x;482.7 ox;0,1343;0,0324;0,0341;0,0244;0,0258;1,06;1,057;1,055
69;T17_110_1_1-S;-0.0006 uv;0,0113;42.84 x;40.18 x;27.29 ox;6.909 o;36.81 x;0,1101;0,1271;0,1375;-0.6670 uv;0,1565;-0.0269 uv;0.0003 uv;848.9 x;457.7 ox;609.0 x;1033 x;531.7 ox;0,2505;0,1078;0,1115;0,093;0,1008;1,056;1,054;1,053
70;T17_115_2_1-S;0.0005 uv;0,0179;44.88 x;42.08 x;29.18 ox;7.364 o;39.02 x;0,2621;0,2874;0,2908;-0.7944 uv;0,3274;-0.0276 uv;0.0055 uv;1022 x;493.0 ox;691.2 x;1275 ox;594.0 ox;0,7123;0,505;0,5209;0,4831;0,4907;0,9996;1;0,9991
71;T17_105-S;0,0069;0,024;19.14 x;18.18 x;18.34 x;7.844 o;18.21 x;0,9095;0,9232;0,8288;-0.9850 uv;1,041;6,33;5,116;1235 ox;508.2 ox;736.9 x;1457 ox;614.5 ox;20.56 x;19.98 x;19.24 x;19.65 x;19.76 x;0,9577;0,9536;0,9594
