Метки Образцов;Масса навески (g);sample_mass;Разбавление;Valiq, ml;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Co 230.786;Co 231.160;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 472.215
T2-N8B2;94.5;;;;5.288;5.371;5.399;366.2;358;0.0024;0.0035;0.0257;0.0245;0.0217;0.0427;0.0501;212.8;210.4;5.324;5.426;0.1819;0.3901;0.183;0.1841;0.4584;0.4487;0.4345;0.4496;0.4434;0.0175;0.0296;283.8;290.3;282.6;278.5;0.9239;0.9383;0.9325;11.87;12.29;12.33;12.29;0.0416;0.0399;0.0525;0.0562
T2-8B2;109.9;;;;21.52;21.69;21.64;55.6;54.93;0.0084;0.0001;0.0591;0.0734;0.0814;0.8796;0.8861;958.1;949.6;10.86;10.9;0.4612;1.413;0.4664;0.4676;1.438;1.389;1.338;1.325;1.362;0.0802;0.0627;141.3;143.8;140.9;139.2;0.9573;0.9684;0.9633;8.62;8.875;8.991;8.838;0.0829;0.0661;0.1275;0.0515
T2-F8B2;100.4;;;;5.274;5.35;5.376;335.9;321.4;0.0017;0.0019;0.0149;0.0182;0.0153;0.0483;0.0548;168.7;168.8;4.085;4.123;0.1334;0.3009;0.1319;0.134;0.3731;0.3633;0.354;0.3691;0.3591;0.0156;0.0224;329.6333333;334.7;329.7;324.5;0.9669;0.9775;0.9695;10.69;11.04;11.13;11.08;0.034;0.0324;0.042;0.0484
T2-8B1;103.1;;;;20.69;20.84;20.76;49.15;48.83;0.0078;0.0002;0.0592;0.0725;0.08;0.868;0.8746;890.2;903.4;11.97;12.01;0.4504;1.348;0.4551;0.4585;1.444;1.389;1.351;1.353;1.373;0.072;0.0589;129.1;131.4;128.7;127.2;0.9457;0.9597;0.9493;13.92;14.37;14.61;14.42;0.071;0.0546;0.1149;0.0584
T2-F8B1;119.6;;;;8.722;8.807;8.946;348;336.1;0.0028;0.0021;0.0231;0.0266;0.0224;0.0875;0.096;264.1;261.5;4.779;4.839;0.1635;0.4444;0.1642;0.166;0.3963;0.3758;0.3665;0.3803;0.3698;0.0198;0.0352;367.7666667;373.3;367.8;362.2;0.9452;0.9563;0.9507;11.59;11.98;12.04;12.03;0.0427;0.0393;0.0557;0.0501
T2-P8B2;111.2;;;;7.148;7.304;7.343;326.8;322.3;0.0031;0.0028;0.0295;0.0284;0.0269;0.221;0.2252;236.8;240.7;4.854;4.893;0.1661;0.4025;0.1652;0.1682;0.7539;0.7377;0.7259;0.7371;0.7265;0.0187;0.0358;366.2;372;366;360.6;0.952;0.9613;0.9544;12.1;12.5;12.65;12.58;0.0687;0.0649;0.0791;0.0654
T2-N8B1;100.9;;;;5.441;5.535;5.545;367.4;370.5;0.0032;0.0054;0.0255;0.0248;0.0228;0.0484;0.0566;230.7;230;5.156;5.198;0.1514;0.3844;0.151;0.1535;0.4242;0.4113;0.4008;0.4115;0.4039;0.0186;0.03;291.6;297.8;290.6;286.4;0.9604;0.9663;0.9565;8.287;8.528;8.63;8.572;0.0529;0.0508;0.0632;0.0616
T2-9A1;;;10;;36.23;36.66;36.49;47.95;47.79;0.0132;0.0013;1.73;1.74;1.747;0.0993;0.1372;1344;1319;125;99.89;5.766;6.48;5.745;5.803;48.11;48.01;47.88;47.5;47.62;0.0472;0.0963;965.4;953.1;981.4;961.7;0.9867;0.9943;0.9858;9.049;9.264;9.552;9.26;0.9471;0.9456;1.199;0.8126
T2-9A2;;;10;;36.38;36.87;36.63;47.98;47.65;0.013;0.001;1.73;1.741;1.749;0.1028;0.1404;1351;1330;126;100.3;5.746;6.48;5.781;5.813;48.19;48.47;47.95;47.45;47.79;0.052;0.0993;968.7333333;958;983.1;965.1;0.9785;0.9889;0.9814;9.506;9.739;9.999;9.727;0.9541;0.953;1.204;0.8385
T2-P9A1;;;10;;4.168;4.574;4.35;75.82;75.73;0.0418;0.0036;0.6386;0.6937;0.8205;0;0.0148;3531;3257;159.9;128.2;5.182;9.829;5.211;5.233;6.928;6.578;6.442;6.334;6.487;0.1704;0.2459;2372.666667;2058;2409;2651;0.9064;0.9113;0.915;11.43;11.68;13.05;11.66;0.5681;0.5257;0.8758;0.443
T2-P9A2;;;10;;5.941;6.443;6.255;65.19;65.08;0.0429;0.0022;0.6716;0.7199;0.8625;0;0.0178;3298;3258;162.9;130.6;5.281;10.12;5.324;5.344;6.355;5.99;5.848;5.755;5.92;0.1753;0.2645;2424;2078;2461;2733;0.902;0.9135;0.914;15.46;15.79;17.23;15.89;0.5857;0.5422;0.8948;0.4713
T2-L9A1;;;10;;0.295695325;0.303718441;0.278489124;0.056722464;0.056886793;0.000121603;6.77E-06;0.001263399;0.001278865;0.001940047;0.010797374;0.011290361;3.730265642;3.911994053;0.183758357;0.159109024;0.007961251;0.021488418;0.008026016;0.008028916;0.037679646;0.036616342;0.036220019;0.035630368;0.036403681;0.000718987;0.000756203;6.611820936;3.39000819;5.290423389;11.15503123;1;1;1;0.009214984;0.008849594;0.01328164;0.00872683;0.00111937;0.000866883;0.00222134;0.000859633
T2-L9A2;;;10;;0.297360069;0.305157121;0.279036997;0.05781514;0.057980828;0.00011793;6.53E-06;0.001228036;0.001253376;0.001910278;0.010857395;0.011354457;3.926790287;3.847845136;0.189175973;0.161496438;0.00800075;0.021276206;0.008142071;0.00811868;0.036529188;0.035905424;0.035125719;0.034433731;0.035408362;0.000725028;0.000778048;6.564143108;3.392692229;5.237669646;11.06206745;1;1;1;0.007361392;0.006878949;0.011383696;0.006897467;0.001102308;0.000856604;0.002178301;0.000854947
T2-F9A1;;;10;;5.213;5.558;5.411;60.36;59.67;0.0274;0.0004;0.4453;0.4954;0.5762;0;0.0235;2926;2919;122.6;102.8;3.829;7.066;3.908;3.906;7.937;7.842;7.559;7.419;7.703;0.1249;0.1429;1831;1685;1869;1939;0.9246;0.9395;0.9404;17.45;17.84;18.72;17.9;0.4144;0.3903;0.6308;0.3155
T2-F9A2;;;10;;7.648;8.085;7.962;60.55;60.44;0.0346;0.0027;0.4944;0.5494;0.636;0;0.0071;2937;3057;124;106;4.161;7.722;4.194;4.215;9.108;8.868;8.75;8.734;8.771;0.14;0.1991;1953.666667;1762;1995;2104;0.9095;0.9174;0.9151;20.5;21.09;22.82;21.45;0.453;0.4217;0.7262;0.3755
T2-F9Z1;;;10;;0.9033;1.067;0.9477;53.78;53.87;0.0229;0.0001;0.3257;0.3612;0.403;0;0.0036;2283;2318;81.46;76.65;2.613;4.758;2.632;2.648;5.455;5.273;5.229;5.173;5.248;0.0878;0.1037;1316.333333;1270;1345;1334;0.939;0.9484;0.9443;2.514;2.473;3.059;2.465;0.2775;0.2579;0.4334;0.2167
T2-F9Z2;;;10;;3.866;4.092;3.992;54.92;54.54;0.0234;0.0009;0.3635;0.4012;0.4521;0;0.0059;2490;2552;87.52;82.65;2.868;5.302;2.872;2.898;6.646;6.463;6.383;6.313;6.409;0.0968;0.1081;1461;1395;1495;1493;0.9257;0.9339;0.9303;4.152;4.184;4.868;4.151;0.3415;0.3204;0.5213;0.2777
T2-N9A2;;;10;;0.0856;0.0965;0.0904;57.99;57.57;0.0003;0.0008;0.0251;0.0237;0.0231;0.0032;0.0045;13.79;13.86;49.31;46.67;0.1428;0.1425;0.1427;0.1421;0.0195;0.0161;0.0171;0.0172;0.0176;0;0.0636;126.1333333;128.5;125.7;124.2;0.9909;0.9981;0.992;0.2306;0.2417;0.2315;0.2276;0.0079;0.0088;0.0087;0.0324
T2-N9G1;;;10;;0.008;0.0201;0.011;44.99;44.52;0.0001;0.0007;0.0248;0.0232;0.0228;0.0036;0.0045;10.28;10.29;61.28;57.2;0.2112;0.2008;0.2144;0.21;0.0135;0.0108;0.0118;0.0125;0.012;0;0.0699;126.2666667;128.3;125.8;124.7;0.9759;0.9872;0.9823;0.0729;0.0692;0.0755;0.0723;0.0132;0.0142;0.0136;0.048
T2-N9G2;;;10;;0.017;0.0305;0.0216;52.09;51.79;0.0003;0.0008;0.0276;0.0267;0.0253;0.0022;0.0044;27.98;28.2;52.37;49.42;0.0992;0.1188;0.0992;0.0986;0.0808;0.0793;0.0775;0.0778;0.0796;0;0.0677;134.0666667;136.4;133.5;132.3;0.9824;0.9892;0.9832;0.0888;0.0863;0.0941;0.0867;0.0168;0.0181;0.0186;0.0512
T2-N9A1;;;10;;0.0226;0.0322;0.0252;56.71;56.05;0.0002;0.0007;0.0248;0.024;0.0235;0.003;0.0044;12.69;12.51;67.44;61.29;0.2252;0.2174;0.2309;0.2252;0.0115;0.0088;0.0098;0.0098;0.0099;0;0.0715;144.0666667;146.8;143.3;142.1;0.9749;0.9903;0.9842;0.083;0.0815;0.0849;0.0825;0.0124;0.0138;0.013;0.047
T2-L8B2;126.6;;;;12.3;12.56;12.62;80.2;81.2;0.0032;0.004;0.0492;0.0499;0.0481;0.5164;0.5142;216.3;215.9;8.396;8.597;0.339;0.335;0.3341;0.336033333;1.035;1.035;1.056;1.046;0.0575;0.4181;473;469.9333333;471.8;467;471;0.9683;0.9861;0.9769;8.168;8.41;8.514;8.42;0.0826;0.0781;0.0926;0.1236
T2-L8B1;102;;;;10.17;10.34;10.41;63.2;63.51;0.0024;0.0032;0.0396;0.0401;0.0379;0.426;0.4211;174.6;175.9;6.991;7.247;0.2671;0.2644;0.2637;0.265066667;0.8178;0.8133;0.833;0.8159;0.0505;0.3379;385;384.6666667;385.6;382.3;386.1;0.9735;0.9908;0.981;8.304;8.556;8.674;8.596;0.0823;0.0781;0.089;0.113
T2-P7B1;99.2;;;;5.88;5.94;5.941;255.9;243.5;0.0029;0.0031;0.0251;0.0258;0.0234;0.1891;0.1933;199.1;199.7;3.926;4.068;0.1364;0.1348;0.135;0.1354;0.7239;0.7154;0.7246;0.7192;0.0273;0.3782;291.6;292.1666667;295.5;288.7;292.3;0.9548;0.9742;0.9669;6.62;6.799;6.883;6.776;0.0575;0.0551;0.068;0.0971
T2-L7B1;116.4;;;;12.13;12.39;12.44;63.97;64.35;0.0028;0.0033;0.0448;0.0467;0.043;0.4633;0.4603;200.6;202.2;7.802;7.96;0.303;0.3006;0.2999;0.301166667;0.9515;0.9479;0.9697;0.956;0.0552;0.3934;418.9;414.3666667;416;413;414.1;0.9476;0.9645;0.959;10.23;10.56;10.68;10.61;0.0726;0.0683;0.0818;0.1058
T2-L7B2;111.6;;;;10.89;11.09;11.16;59.24;59.82;0.0031;0.002;0.0436;0.0441;0.0436;0.4396;0.4352;205.6;205.8;7.178;7.432;0.2839;0.2826;0.2804;0.2823;0.9435;0.9383;0.9452;0.951;0.0517;0.3945;409.8;403.8;405.3;402;404.1;0.9608;0.981;0.9709;1.254;1.275;1.326;1.271;0.0652;0.0606;0.0747;0.1038
T2-7B2;101.7;;;;20.08;20.82;20.5;45.67;45.92;0.0076;0;0.0539;0.0666;0.071;0.801;0.8095;784.9;789.3;9.928;10.16;0.4223;0.4238;0.4209;0.422333333;1.315;1.307;1.317;1.319;0.0628;1.476;121.5;121.5333333;123.2;119.7;121.7;0.9478;0.9634;0.9548;7.478;7.686;7.848;7.648;0.0867;0.0728;0.1274;0.2782
T2-7B1;98.8;;;;19.13;19.82;19.5;44.15;44.35;0.0072;0;0.0541;0.0678;0.0697;0.7989;0.8061;722.5;733.6;10.14;10.41;0.3847;0.3865;0.3844;0.3852;1.278;1.266;1.282;1.279;0.0555;1.415;111.9;110.5;111.9;108.8;110.8;0.9562;0.974;0.9686;6.686;6.867;7.026;6.829;0.1073;0.0948;0.1437;0.2863
T2-F7B2;134.5;;;;8.037;8.114;8.191;333.8;325.9;0.004;0.0032;0.0236;0.0289;0.0251;0.0921;0.1002;251;253.8;4.837;5.049;0.1692;0.1687;0.1678;0.168566667;0.5294;0.5296;0.5491;0.5351;0.0249;0.5038;368.9;365.4333333;370.3;362.1;363.9;0.9304;0.9503;0.9421;10.84;11.18;11.3;11.19;0.0764;0.0743;0.0907;0.12
T2-P7B2;100;;;;7.178;7.293;7.322;263.9;251.5;0.0033;0;0.0248;0.026;0.0249;0.2201;0.2235;232.6;237.5;4.305;4.442;0.1463;0.1447;0.1453;0.145433333;0.7048;0.6998;0.7189;0.7099;0.0322;0.424;308.8;304.8666667;309.1;301.4;304.1;0.9364;0.9533;0.9426;7.545;7.739;7.844;7.735;0.0736;0.0705;0.0851;0.113
T2-N8E11;98.5;198.864;;;5.088;5.098;5.127;342.9;350.1;0.0028;0.0034;0.0248;0.023;0.0221;0.0416;0.0495;212.4;212.1;3.833;3.977;0.1675;0.1657;0.1652;0.166133333;0.3885;0.388;0.3954;0.3905;0.0232;0.3885;279.3;275.5333333;280.5;271.6;274.5;0.9367;0.9558;0.9498;5.515;5.673;5.751;5.665;0.0676;0.0664;0.078;0.1035
T2-N8E12;96.3;198.864;;;4.705;4.716;4.731;322.6;327.6;0.003;0.0022;0.0212;0.0205;0.0191;0.0421;0.0496;200.5;201.4;5.574;5.805;0.1847;0.1832;0.1824;0.183433333;0.3483;0.3463;0.3486;0.3491;0.0211;0.3749;264.9;264.0666667;268.6;260.3;263.3;0.9687;0.9903;0.9818;2.13;2.175;2.228;2.166;0.0571;0.0561;0.0672;0.0917
T2-N8E13;101.2;198.864;;;4.64;4.643;4.662;326.2;328.9;0.0033;0.0022;0.02;0.0203;0.0199;0.0357;0.0436;214.4;214.2;15.46;16.26;0.3566;0.3563;0.354;0.355633333;0.3332;0.3323;0.3388;0.3339;0.0278;0.3792;294;290.5;295.4;286.5;289.6;0.9467;0.9673;0.9586;4.077;4.181;4.255;4.17;0.0505;0.05;0.062;0.0872
T2-N8E21;102.3;125.978;;;5.571;5.592;5.611;353.2;360;0.0031;0.0024;0.0239;0.0258;0.0241;0.0525;0.0603;228.3;228.7;4.127;4.271;0.193;0.1917;0.1906;0.191766667;0.461;0.4607;0.4713;0.4621;0.0251;0.4326;297.6;293.1333333;298.5;288.9;292;0.9285;0.95;0.9434;5.845;6.005;6.09;5.954;0.0705;0.0687;0.0828;0.1092
T2-N8E22;98.4;125.978;;;3.04;3.028;3.051;213.4;203.7;0.002;0.0038;0.0158;0.0137;0.0113;0.0252;0.0308;128.6;129.4;4.27;4.412;0.1302;0.1286;0.1285;0.1291;0.2656;0.2651;0.2689;0.2659;0.0202;0.2321;173.2;172.6333333;176.3;169.5;172.1;0.9764;0.9957;0.988;3.129;3.205;3.269;3.203;0.0528;0.0523;0.0584;0.0825
T2-N7B2;99.5;;;;4.959;4.974;4.985;334.7;340.7;0.0036;0.0035;0.0249;0.0264;0.0246;0.0502;0.0583;227.7;233.7;4.473;4.643;0.1682;0.1675;0.1673;0.167666667;0.503;0.5033;0.5159;0.5045;0.027;0.4366;282.5;278.4333333;283.5;274.6;277.2;0.9406;0.9611;0.9526;7.433;7.622;7.753;7.625;0.065;0.0636;0.0777;0.1013
T2-N7B1;118.8;;;;6.097;6.181;6.205;406.2;418.1;0.0038;0.0017;0.0276;0.033;0.029;0.0386;0.0486;259.6;263.2;5.454;5.712;0.2046;0.2042;0.2024;0.203733333;0.4956;0.4972;0.5172;0.4976;0.0233;0.5199;346.8;341.1333333;346.8;337.7;338.9;0.9404;0.9599;0.9522;10.76;11.11;11.23;11.14;0.081;0.0792;0.0964;0.1249
T2-F7B1;98.2;;;;7.597;7.75;7.755;316.4;305.5;0.0031;0.0037;0.0206;0.0222;0.0216;0.0473;0.056;245.7;246.7;4.132;4.254;0.1465;0.1461;0.1454;0.146;0.3981;0.3965;0.4095;0.3963;0.0299;0.4693;337.4;331.1;336.7;327.6;329;0.9045;0.9371;0.9177;9.084;9.375;9.493;9.396;0.0565;0.0543;0.0693;0.1002
T2-L9B1;94.4;;;;13.49;13.9;13.72;52.82;53.22;0.0026;0.0026;0.036;0.0352;0.0335;0.3728;0.3688;192.2;192.3;6.558;6.7;0.2538;0.2529;0.2505;0.2524;0.7547;0.7479;0.76;0.7526;0.052;0.3798;370.3;361.3;363.8;359.2;360.9;0.9831;1.001;0.9875;5.231;5.381;5.426;5.384;0.0849;0.0821;0.0912;0.1201
T2-N8E23;97.3;125.978;;;5.298;5.31;5.334;346.7;354.1;0.0028;0.0049;0.0231;0.0238;0.0227;0.0455;0.0531;220.9;220.8;6.214;6.525;0.1937;0.192;0.1907;0.192133333;0.4584;0.4574;0.4686;0.4589;0.0325;0.4179;295.7;290.3;295.6;286.2;289.1;0.9455;0.9624;0.9578;6.374;6.504;6.615;6.507;0.054;0.0525;0.0663;0.086
T2-P9B2;101.6;;;;6.567;6.663;6.692;299.2;288.3;0.0036;0.0016;0.0234;0.0231;0.0251;0.2099;0.2141;243.7;240.7;4.333;4.461;0.1459;0.1448;0.1446;0.1451;0.6733;0.6718;0.6862;0.6756;0.0293;0.4838;339.4;333.5;338.2;330.3;332;0.9518;0.9702;0.9617;7.839;8.049;8.177;8.077;0.0594;0.0561;0.0731;0.1059
T2-L9B2;114.9;;;;10.49;10.72;10.79;58.69;59.11;0.0034;0.0033;0.0417;0.0421;0.0418;0.4227;0.4186;223.7;219.9;7.415;7.48;0.2869;0.2875;0.2864;0.286933333;0.8958;0.896;0.9034;0.8957;0.0546;0.4525;452;438.2333333;441.6;434.7;438.4;0.9839;1.002;0.9964;6.701;6.888;6.973;6.881;0.0585;0.0537;0.0685;0.1041
T2-N9B2;105.1;;;;5.196;5.214;5.233;368.1;378;0.0033;0.0039;0.0217;0.0246;0.0229;0.0411;0.0497;238.7;239.4;5.31;5.566;0.1803;0.1788;0.179;0.179366667;0.3995;0.4;0.4157;0.4005;0.0189;0.4538;306.7;299.9333333;305.9;295.4;298.5;0.9374;0.957;0.9474;9.475;9.769;9.937;9.837;0.053;0.0514;0.0661;0.0834
T2-F9B2;100.2;;;;5.52;5.546;5.556;322.4;315.8;0.0028;0.003;0.0185;0.0181;0.0165;0.0451;0.0525;205.5;207.3;3.789;3.886;0.1268;0.1261;0.1268;0.126566667;0.3084;0.3085;0.3206;0.308;0.029;0.3951;337.2;328.7666667;333.8;325.1;327.4;0.9584;0.9754;0.9684;7.967;8.209;8.311;8.192;0.0694;0.0679;0.079;0.0954
T2-9B1;95.5;;;;18.78;19.55;19.21;41.52;41.73;0.0074;0;0.051;0.0638;0.0684;0.7403;0.7484;751.1;764.1;9.824;9.947;0.3837;0.3861;0.3845;0.384766667;1.23;1.231;1.24;1.238;0.066;1.474;120.6;116.1333333;117.9;114.4;116.1;0.9841;1.004;0.994;8.054;8.275;8.489;8.249;0.0935;0.0812;0.1314;0.2773
T2-P9B1;102;;;;6.601;6.709;6.722;298.8;285;0.0031;0.0033;0.0233;0.0269;0.0242;0.2146;0.2189;233.4;231.1;4.327;4.466;0.1438;0.1437;0.1436;0.1437;0.6664;0.665;0.6843;0.6721;0.0202;0.441;335.2;326.7333333;332.1;323;325.1;0.9577;0.9758;0.969;9.123;9.412;9.527;9.415;0.0601;0.0567;0.0726;0.0995
T2-F9B1;97.8;;;;5.377;5.404;5.404;323.2;325;0.0023;0.0027;0.0144;0.0136;0.0123;0.03;0.0372;187.2;188;3.554;3.658;0.113;0.1128;0.1126;0.1128;0.2344;0.2336;0.2462;0.2334;0.0214;0.3507;333.7;325.4666667;330.6;322.5;323.3;0.9652;0.9819;0.9752;8.425;8.679;8.78;8.665;0.0479;0.0464;0.0563;0.072
T2-N9B1;113.1;;;;5.707;5.737;5.748;359.7;366.9;0.0031;0;0.0206;0.0236;0.0219;0.0329;0.0418;245;235.6;4.454;4.596;0.1718;0.1693;0.1689;0.17;0.3691;0.3675;0.3776;0.3682;0.0324;0.4711;301.5;295.2666667;301.3;291.3;293.2;0.9496;0.9705;0.961;6.677;6.84;6.957;6.824;0.0724;0.0715;0.0857;0.1088
T2-N9E2;100.9;169.2041;;;5.198;5.21;5.231;364;372;0.0035;0.0041;0.0212;0.0236;0.0224;0.044;0.0526;231.9;235.4;5.431;5.661;0.1777;0.177;0.1765;0.177066667;0.3799;0.3812;0.3965;0.3813;0.0202;0.445;303.5;297.3333333;303.3;293.1;295.6;0.9418;0.9618;0.9543;9.823;10.13;10.26;10.17;0.0646;0.0634;0.0775;0.1008
T2-9B2;103.7;;;;20.78;21.69;21.23;45.76;46.13;0.0085;0;0.0579;0.0708;0.08;0.8483;0.8563;883.4;884.7;11.49;11.73;0.4347;0.4377;0.4345;0.435633333;1.414;1.419;1.432;1.42;0.0682;1.677;135.8;132.4333333;134.6;130.6;132.1;0.9642;0.987;0.9758;11.85;12.21;12.35;12.27;0.0796;0.0649;0.1248;0.2894
T2-F9D1;111.4;52.9367;;;10.28;10.52;10.6;381.7;390.8;0.004;0.0028;0.0425;0.0458;0.0442;1.062;1.035;262.6;266.2;2.319;2.332;0.0967;0.0978;0.0968;0.0971;1.789;1.784;1.798;1.792;0.031;0.526;472.3;456.7666667;464.8;450.9;454.6;0.955;0.9747;0.9662;9.946;10.26;10.38;10.27;0.1201;0.1102;0.1319;0.1544
T2-N9E11;124.3;168.5173;;;6.328;6.425;6.445;421.8;432.6;0.0036;0.0033;0.0243;0.0262;0.0254;0.0338;0.0437;260.8;260.7;3.78;3.868;0.1858;0.1848;0.1844;0.185;0.4247;0.4237;0.437;0.4241;0.0317;0.5004;348.4;339.6666667;346.5;334.8;337.7;0.9483;0.9702;0.9614;8.607;8.871;9.035;8.877;0.1025;0.1012;0.115;0.1432
T2-F9D2;97.2;37.0743;;;7.785;7.875;7.956;293;285.1;0.0033;0.0025;0.0375;0.037;0.0363;0.9016;0.8808;207;208.5;2.05;2.039;0.0736;0.0737;0.0739;0.073733333;1.565;1.564;1.585;1.57;0.0212;0.3901;357.4;347.2666667;352.4;343.6;345.8;0.9767;0.9965;0.9903;10.19;10.51;10.61;10.52;0.0588;0.0507;0.0685;0.0905
T2-N9E12;99.2;168.5173;;;5.047;5.058;5.088;345.5;353.2;0.0032;0.0037;0.0207;0.0218;0.0208;0.0304;0.0392;223.4;224.6;3.568;3.643;0.1619;0.1611;0.161;0.161333333;0.3501;0.351;0.3648;0.3509;0.0198;0.4278;286.7;279.5666667;285.2;275.7;277.8;0.9748;0.9924;0.9847;9.062;9.347;9.487;9.371;0.0737;0.0727;0.084;0.1105
T2-10A1;;;10;;37.23;39.28;38.27;45.89;46.49;0.0127;0.0009;1.63;1.634;1.656;0.2248;0.2572;1227;1182;116.8;99.99;5.376;5.485;5.486;5.449;44.83;44.67;44.78;45.19;0.0493;2.14;888.5;898;881.9;901.1;911;0.9496;0.9658;0.9639;9.157;9.424;9.773;9.432;0.8681;0.8868;1.15;1.187
T2-10A2;;;10;;37.39;39.48;38.32;45.39;45.8;0.0129;0.002;1.632;1.639;1.661;0.2313;0.2627;1238;1176;117;100.1;5.372;5.507;5.5;5.459666667;45.48;44.87;44.9;45.29;0.0469;2.157;898.8;905.2;889.4;912.4;913.8;0.9529;0.969;0.966;9.842;10.13;10.51;10.16;0.8735;0.8904;1.154;1.185
T2-L10A1;;;10;;274.1;293.7;265.2;55.54;56.55;0.1166;0.0036;1.237;1.273;1.823;9.872;10.25;3660;3637;172.5;161.3;7.493;7.646;7.694;7.611;35.6;35.27;35.36;35.84;0.5501;33.68;17180;6405.333333;3404;5132;10680;0.7635;0.7794;0.7873;9.409;9.082;13.94;9.052;1.021;0.8328;2.06;4.889
T2-L10A2;;;10;;275.4;296.7;266.9;49.76;50.76;0.1095;0.0051;1.224;1.253;1.812;9.901;10.23;3586;3700;170.8;161.9;7.437;7.635;7.627;7.566333333;35.35;34.67;34.77;35.5;0.5849;34.52;17710;6465.666667;3446;5161;10790;0.7554;0.7726;0.7807;9.461;9.09;13.48;9.032;1.02;0.8314;2.057;4.999
T2-P10A1;;;10;;6.161;6.756;6.415;59.34;59.93;0.0499;0.0014;0.6651;0.7194;0.9254;0;0.0229;3510;3211;154.5;137.8;5.565;5.758;5.656;5.659666667;6.442;6.284;6.273;6.435;0.2218;14.69;3520;2777.333333;2258;2772;3302;0.8305;0.8575;0.8567;14.3;14.66;16.68;14.4;0.6705;0.6297;1.099;2.524
T2-P10A2;;;10;;2.908;3.309;3.008;58.99;59.44;0.0485;0.0033;0.5746;0.6293;0.8139;0;0.0126;3477;3173;154.3;135.4;5.41;5.611;5.528;5.516333333;4.183;4.053;4.049;4.152;0.1971;12.96;3246;2611.666667;2187;2613;3035;0.8373;0.8649;0.8659;11.89;12.15;14;11.91;0.662;0.6287;1.045;2.359
T2-N10G1;;;10;;0.1407;0.1493;0.1418;48.91;49.13;0.0006;0.0006;0.0261;0.0246;0.0246;0.0072;0.0088;13.32;13.37;38.46;37.95;0.088;0.0893;0.0867;0.088;0.0347;0.0335;0.0329;0.0363;0.0034;0.0223;109.8;110.0333333;111.2;108.1;110.8;0.9679;0.9987;0.9884;0.1484;0.1555;0.1566;0.1464;0.0126;0.0136;0.0128;0.0271
T2-N10G2;;;10;;0.0112;0.0281;0.0185;58.04;58.48;0.0006;0;0.0238;0.0233;0.0216;0.0043;0.0047;3.141;3.075;4.028;4.116;0.0119;0.0118;0.0121;0.011933333;0.0158;0.0159;0.0152;0.017;0;0.0063;62.13;61.88666667;62.82;60.27;62.57;0.9815;1.012;1.002;0.0775;0.0785;0.0861;0.0773;0.0107;0.0112;0.01;0.0242
T2-N10A1;;;10;;0.1294;0.1391;0.1328;60.33;60.73;0.0005;0.0006;0.025;0.023;0.023;0.0035;0.0048;9.366;9.223;48.07;46.62;0.1024;0.1049;0.1013;0.102866667;0.0218;0.0222;0.0203;0.0234;0;0.0176;122.9;121.9333333;123.3;119.9;122.6;0.9682;0.9951;0.9877;0.395;0.4011;0.411;0.3966;0.0092;0.01;0.0091;0.0217
T2-F10A1;;;10;;9.562;10.23;10.06;68.02;69;0.0463;0;0.5503;0.6084;0.7633;0;0.0205;3230;3030;132.1;118.6;4.719;4.845;4.776;4.78;10.4;10.15;10.2;10.36;0.1884;11.96;3153;2530.333333;2133;2540;2918;0.8662;0.8874;0.8893;23.84;24.6;26.27;24.5;0.585;0.551;0.961;2.096
T2-F10A2;;;10;;4.859;5.206;5.026;64.54;65.25;0.0324;0.0012;0.4052;0.4497;0.5589;0;0.0045;3017;2777;109.8;98.64;3.767;3.879;3.821;3.822333333;7.229;7.076;7.077;7.198;0.1333;7.77;2345;2008;1822;2023;2179;0.9119;0.939;0.9373;14.51;14.76;15.99;14.84;0.4842;0.4612;0.7474;1.589
T2-F10Z1;;;10;;0.1636;0.1886;0.1722;53.35;53.69;0.0039;0.0019;0.0794;0.0845;0.083;0.0071;0.0202;369.3;369.6;10.81;10.9;0.3723;0.3767;0.3747;0.374566667;1.474;1.442;1.443;1.468;0.0155;0.6904;297.7;290.0333333;291.5;287.2;291.4;1.002;1.029;1.02;0.6722;0.6826;0.7819;0.6717;0.075;0.0734;0.0989;0.1776
T2-F10Z2;;;10;;0.278;0.3202;0.2902;47.31;47.61;0.0062;0;0.1145;0.1193;0.1263;0;0.0102;653.4;653.8;19.33;19.78;0.6815;0.6916;0.6817;0.684933333;2.313;2.279;2.282;2.317;0.025;1.194;474.3;460.5333333;462.4;457.2;462;1.002;1.024;1.018;0.9152;0.9129;1.088;0.9093;0.1191;0.1165;0.1605;0.2951
