name;Сa;dCa;Сo;dCo;Cu ;dCu;Fe;dFe;Ni;dNi
Т13_205;450,00;20,00;5,00;0,40;74,00;1,00;6209,00;948,00;186,00;0,40
Т13_305;540,00;10,00;5,00;0,80;51,00;1,00;6271,00;891,00;165,00;1,10
Т13_210;480,00;10,00;5,00;0,50;71,00;2,00;6251,00;899,00;177,00;0,40
Т13_310;500,00;10,00;4,00;0,60;45,00;1,00;6247,00;874,00;143,00;0,80
Т13_175;270,00;20,00;5,00;0,30;71,00;1,00;6222,00;833,00;183,00;0,70
AV_1_1-s;393,97;20,58420013;35,256;0,174520199;296,25;6,809438303;1405,6;7,775795779;1423,6;3,54866172
NV_AV1-S;111,48;2,33;1,36;0,13;0,13;0,01;4934,40;103,48;22,84;0,05
NV1_3_0_1-S;310,50;14,35;0,59;0,08;0,06;0,01;2972,20;28,19;16,42;0,02
NV_MSP-S;199,62;6,99;1,74;0,18;2,42;0,04;6304,00;167,88;29,88;0,06
АОВ_1.2_1-S;244,41;10,00;0,18;0,03;0,10;0,00;1181,60;5,62;0,89;0,01
AV_12-1-1-S;285,16;12,64;1,44;0,11;0,50;0,02;4900,80;98,26;22,45;0,05
