Sample;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Pb
1;мкг/л;мг/л;мг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;мкг/л
E2-N26B2;5340;300;20060;1310;654950;231.4;370;2.5;164;42;140.2;950;49;104;442;580;760;12;65;53;51;17
E2-N26B1;4930;310;25960;5080;621870;173.5;360;59.9;2902;564;172;1860;143;279;809;1080;1040;49;81;154;101;21
E2-P26B1;7240;430;19000;1550;520330;329.6;450;83.3;4396;915;238.6;2840;217;448;1111;1290;1060;65;121;227;92;27
E2-P26B2;5800;350;21950;1360;414950;286.5;390;65.9;3404;739;186.4;2210;171;355;912;1320;1350;54;96;178;70;22
E2-F26B2;5400;310;23530;1760;515490;126;160;3;172;51;55.9;1170;67;126;392;470;250;44;83;66;47;17
E2-F27B1;7870;370;14190;1160;620330;144.3;270;6.7;340;80;25.9;1420;113;137;385;190;320;40;111;57;43;13
E2-P27B2;6940;390;25240;1330;538130;260.8;390;83.3;4359;699;67.4;15070;206;442;1141;1210;730;71;122;248;91;23
E2-27B1;23130;210;25800;3360;161540;920.4;1240;202.7;11929;2216;144.3;9020;735;1539;3781;3850;1000;193;440;764;196;69
E2-27B2;21010;220;21690;3080;188790;801.6;1150;201.2;11498;1945;115.4;7810;626;1274;3338;3490;990;120;384;762;212;58
E2-N27B2;7170;350;24550;11100;648020;293.9;400;5.7;205;55;44.2;1370;86;118;398;340;650;39;81;55;51;16
E2-F27B2;9770;430;21950;1800;677910;231;390;4.7;233;76;33.9;2070;145;213;580;250;330;52;150;103;55;23
E2-N27B1;7850;320;9860;7210;646700;299.1;410;8.7;374;67;35;1360;91;138;402;270;650;21;85;56;30;14
E2-P27B1;8090;540;29460;1900;673960;338.2;480;110.1;5972;991;68.6;3330;245;557;1385;1470;1090;26;106;246;135;22
E2-N26E1;5580;360;30130;3120;672090;158.2;400;68.5;3424;691;177.1;2180;144;282;785;820;950;15;75;129;77;15
E2-F27D11;11300;550;31600;2680;681760;102.8;420;367.7;20483;3471;150.5;8420;661;1518;3670;4490;3120;54;204;819;204;39
E2-N26E2;5900;360;22970;790;758680;187.7;400;3;199;45;113.8;970;63;110;320;420;580;9;58;51;44;11
E2-F27D12;15390;860;30870;4110;1067800;143.5;640;531.2;28494;4829;223;12720;994;2308;5307;6620;4790;112;326;1177;286;65
E2-F27D21;10470;590;21350;3200;560770;120.7;500;558.2;30747;5046;216;10850;888;2166;4990;6420;4530;52;238;1155;264;37
E2-F27D22;9760;580;34240;3190;562530;110.5;510;568.2;30977;5135;192.1;11350;944;2220;5368;7030;4460;83;239;1455;303;37
E2-27C3;55120;630;23280;9280;556370;3136;3480;627.9;34322;6348;319.1;31450;2517;5038;12241;11590;3020;447;1640;3072;654;254
E2-27C4;59280;660;13480;11110;569890;3281;3500;622.6;35000;6488;318.3;33420;2626;5219;12326;11720;3090;209;1698;3485;656;262
E2-P27C3;22080;1550;11900;4970;1639560;1660;2110;272.4;15080;2627;180.9;11280;842;1750;4067;4370;3550;46;457;973;793;85
E2-P27C4;17220;1680;14080;5340;1887910;1516;1930;270.2;14966;2547;186.4;10160;743;1679;3849;4070;3610;54;360;882;232;85
E2-F27C3;25860;1450;30710;3440;2075820;1080;1630;23.3;1324;331;89.4;5810;444;528;1301;910;1260;75;415;212;101;211
E2-N27C3;13570;650;36720;24740;1292310;527.8;700;14.3;654;126;250.1;2610;162;231;685;30050;1640;24;134;90;111;25
E2-N27C4;13790;660;34990;30710;1142860;541.5;720;11.8;477;242;2012;2940;165;235;700;650;4250;27;129;195;59;63
E2-L23A11;103850;7250;3400;13625;11475;8187.5;5950;367.75;18507.5;4912.5;556.5;34200;2782.5;832.5;2042.5;475;1900;585;2317.5;70;95;60
E2-L23A12;104900;7525;2475;13625;11525;8332.5;5825;371.5;18300;4980;579.75;36475;3005;877.5;2122.5;475;1950;635;2477.5;70;75;65
E2-L23A2;121375;7825;2350;20175;14700;8567.5;5650;406.5;21210;6417.5;590.5;38975;3070;1122.5;2717.5;650;2600;665;2497.5;97.5;67.5;107.5
E2-F23A1;6380;1140;3320;1280;48680;2610;2380;4.2;740;10;377;760;66;16;64;100;360;14;18;4;32;4
E2-F23A2;31480;1300;3220;1080;55060;2842;2620;2.8;1100;10;111.6;920;54;18;150;100;520;38;120;8;42;6
E2-F23Z1;5180;840;3500;720;50820;1878.2;1780;5.8;1908;16;371.2;740;56;14;58;120;340;8;12;2;34;2
E2-F23Z2;18880;920;3520;620;51840;1835.4;1880;4;1394;28;102;780;48;16;102;140;380;22;64;8;36;2
E2-23A1;3180;660;4200;11380;47620;12706;80;36.2;3142;30;80;760;30;50;48;100;420;4;10;4;26;2
E2-23A2;3380;660;4220;12600;48380;12958;80;34.8;3168;20;80.8;760;28;46;40;140;380;6;10;0;18;2
E2-P23A1;16360;1920;2720;180;38920;4572;3440;2.4;114;42;468;940;190;44;144;260;340;98;182;14;28;2
E2-P23A2;123840;4400;5000;520;84720;9982;7700;6;342;122;235.2;2800;260;142;1058;460;1000;380;1320;60;66;4
E2-N23A1;40;280;4120;4520;53400;94.8;0;0.2;14;4;17.2;120;10;6;38;140;260;4;0;0;18;2
E2-N23A2;160;320;5700;5020;55120;1312.4;120;0.2;10;6;15.6;100;10;6;44;80;260;2;0;0;18;2
E2-N23G1;60;260;3720;4040;53320;90.6;20;0.4;14;4;18.8;140;10;6;38;80;360;2;0;2;14;4
E2-N23G2;40;300;6640;4600;47800;1131.6;100;0.4;10;4;15.8;80;12;6;52;160;260;2;0;0;22;2
E2-N23L1;620;200;3940;200;21520;42.6;40;0.6;80;22;29.2;200;14;2;52;80;360;4;2;2;12;10
E2-N23L2;680;220;4020;440;11220;19.4;40;0.4;22;10;16.2;220;10;4;44;80;360;2;2;0;12;2
E2-N23N1;640;280;3980;1940;66600;80.2;60;2;84;44;51.2;300;22;10;50;1880;340;2;4;2;14;4
E2-N23N2;140;260;4080;2260;23420;533.6;60;0.6;16;62;50.4;300;12;4;42;140;320;2;0;0;18;2
MCP-F4x100;20860;20;3660;2300;53640;1216.2;200;1;404;8;130;180;14;14;34;160;3820;2;0;0;14;18
E2-P26A2;35950;2300;575;125;44075;4575;4375;1;272.5;50;1093.75;1700;267.5;57.5;312.5;150;275;195;320;22.5;92.5;7.5
E2-P26A1;23300;2050;500;275;41075;4462.5;3975;3;310;147.5;511;1525;207.5;130;365;250;225;120;172.5;45;55;5
E2-L24A2;152520;9400;520;23560;7440;10464;6080;457.6;24788;7496;706.4;44800;3564;1236;2820;640;2720;680;2376;76;44;64
E2-L24A1 ;151680;9640;520;23280;7040;10500;5920;426.4;23052;6920;689.6;42080;3444;1192;2832;760;2560;608;2256;76;44;60
E2-L24z2;151480;9240;400;22680;6960;10204;5760;440.4;23328;7100;684.4;43560;3468;1252;2752;560;2560;604;2352;84;36;60
