Sample;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Hg;Pb
ед. изм;мкг/л;мг/л;мг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л
T2-F9B1;5460;226.1;24181;1079;318667;98;130;9.5;234;36.1;39.3;711;130.9;140;226;350;154;8.3;23.8;41;3.6;997;7826
T2-N9B1;5716.3;198.7;20224;919;355259;147;165;15.2;342;39.1;58.5;829;140.3;161;304;308;232;3.5;26.9;49.65;2.3;633;6689
T2-N9E2;5264.6;202.6;23876;882;370697;158;166;15.5;370;50.5;53.6;833;131.1;163;250;280;227;7.2;23.8;44.65;2.4;808;6837
T2-9B2;19835;84.8;23736;4056;57504;338;585;40;1100;756;58.1;2467;690.3;880;1393;1654;327;43.6;123.5;305.55;25.4;624;29973
T2-F9D1;7961.2;252.4;12020;1378;289171;67;149;25.2;1109;697.6;70.9;1278;300.5;432;697;1316;742;27.6;43.3;221.9;22.8;1450;10521
T2-N9E11;5922.1;217.9;23789;626;384905;148;178;16.1;377;39.6;76.8;808;137.6;169;264;289;520;12.6;27.5;52.4;3.4;957;6915
T2-F9D2;8233;251.4;19595;1272;289225;67;145;29.9;1301;790.4;44.3;1402;323.2;471;826;760;696;23.9;46.7;185.45;18;811;9054
T2-N9E12;4895.1;185.3;22813;969;324124;133;145;12.7;315;36.4;56.7;4369;115.8;136;266;755;668;10.4;23.2;39.8;2;953;5958
T2-6B1;20589.9;79.6;35895;2797;49317;318;595;37.5;1073;773.7;58;2456;704.9;935;1455;1638;403;60.3;131.9;302.15;81.3;700;28780
T2-6B2;17121.3;59.4;24440;2170;40670;265;481;32;905;629.5;36.8;1898;569.8;739;1294;1299;328;49.9;103.3;246.15;49.1;449;23024
T2-L6B1;10456.8;263.4;27457;2268;73113;216;132;29.8;752;350.9;29.8;989;274.8;1063;2027;1009;310;34.4;56.1;394.1;65.8;578;28888
T2-L6B2;12570.1;262.6;18638;2475;80891;231;125;33.8;824;408.3;39.4;959;262.6;1125;2439;1026;265;21.6;52.5;530.85;123.1;491;33990
T2-F6B1;6845.3;141.1;17577;902;207339;71;123;7.1;162;38.5;20.4;762;149;186;353;326;166;19;27.4;58.25;31.4;310;5559
T2-F6B2;7629.8;198.6;25968;1314;288694;96;144;9.4;167;51;20.9;1294;177.7;226;429;715;202;19.5;36.6;65.5;32.2;1538;7861
T2-P6B1;7142.8;230.1;34581;1268;290174;135;162;23;761;200.6;28.2;1026;188.3;258;460;527;342;22.6;34.5;73.65;36.4;556;7868
T2-P6B2;6391.8;191.4;12929;1099;230708;131;154;22.7;809;187;32.3;935;167.4;214;335;365;300;17.6;29.9;68.65;20.7;523;6954
T2-N6B1;5098.8;174.6;21034;1083;335101;142;147;10.5;195;37.8;22.1;715;116.4;137;256;259;211;13.8;24.4;41.25;15.6;538;5463
T2-N6B2;4395.9;169.2;44455;1039;303164;134;140;10.2;167;32.2;25.9;625;101.5;122;237;294;252;12.5;19.2;35;24.3;708;5081
T2-F6D22;7511.5;183.8;18909;1121;227760;64;98;50;2181;563.5;39.8;1500;245;338;653;809;609;22.3;33.7;151.85;54;527;8394
T2-F6D12;6178.9;179.8;27402;1269;232403;70;103;43.2;1482;509.2;31.5;1182;206.8;306;593;701;621;18.8;31.5;107.7;69.6;452;6612
T2-F6D11;5760.3;158.8;17764;862;221228;68;104;22.1;644;179.5;29.1;841;141.1;190;397;439;248;15.1;22.9;62.35;55.2;350;5542
