name;Ca;dCa;Co;dCo;Cu;dCu;Fe;dFe;Ni;dNi;Описание;is_solid;id;tags;status_id;is_solution;last_normalized;sample_mass;Sc;dSc;repeat_number;method_number;created_at;priority;series_base;is_series;V (ml);Плотность;Масса твердого (g);pH;Eh;Масса навески (g);Объем р-ра H2SO4 (ml);Масса железных окатышей (g);merge_date;Al;Mg;dZn;merged_from;dMg;dCd;Pb;dSi;Zn;dS;dMn;Si;Mn;dPb;Cd;S;dAl;last_mass_volume_update;mass_volume_source;Разбавление;Ru;mIr;mAl;K;Ag;mSc;mCu;Ir;mPt;mAu;mCl;mFe;Os;mRh;Cl;mCa;Rh;Pd;mNi;mCd;mRu;mK;Mo;mZn;V_aliq (l);last_mass_recalculation;mCo;mMn;Au;mPb;mMo;mOs;mS;mPd;mAg;Pt;mSi;mMg;mEh;C;dC;mC;mass_solid_copied_from_C;last_copy_check;skip_reason;mass_source_for_solid;mass_volume_copy_skipped;;Hg;mHg;volume_calculation_note;mass_calculation_note;Массовая доля CaCO3;Массовая доля Ca(OH)2;Объем суспензии CaCO3;Объем суспензии Ca(OH)2;Pb_MS;Ni_MS;Cu_MS;K_MS;Hg_MS;Co_MS;Rh_MS;Mn_MS;Os_MS;Mo_MS;Zn_MS;Al_MS;Cl_MS;Cd_MS;Ag_MS;Ca_MS;Pd_MS;Au_MS;S_MS;Ru_MS;Fe_MS;Ir_MS;Pt_MS;mPt_MS;mAg_MS;mZn_MS;mFe_MS;mRu_MS;mMo_MS;mRh_MS;mAu_MS;mAl_MS;mCa_MS;mCd_MS;mOs_MS;mPd_MS;mIr_MS;mK_MS;mHg_MS;mMn_MS;mS_MS;mCu_MS;mCl_MS;mCo_MS;mNi_MS;mPb_MS;Mg_AES;Ni_AES;Si_AES;Pb_AES;Fe_AES;Ca_AES;Sc_AES;Al_AES;Zn_AES;S_AES;Co_AES;Cd_AES;Cu_AES;Mn_AES;mMn_AES;mAl_AES;mS_AES;mCd_AES;mSc_AES;mCa_AES;mCo_AES;mSi_AES;mFe_AES;mNi_AES;mPb_AES;mZn_AES;mMg_AES;mCu_AES;flag_rebalance_volume;zero_sample_mass;flag_rebalance_mass;zero_V (ml);Valiq, ml
T2-L6P6F6A2;52.642;0.1485;0.1036;0.0325;0.0059;0.0016;1582;126.5721;0.787;0.0359;0;0;496;[];3;0;2026-03-13T14:10:21.934617;0;0.9236;0.0044;0;0;0;0;0;0;396.24;0;-554.736;0;0;0;0;0;0;0.1325;78.19;0.0191;0;0.1556;0.0968;0.0001;0.4939;0.1314;79.2549;0.0444;4.6647;1.53;4.1031;0.0002;1054.5;0.1135;2026-02-03T10:05:45.924300;T2-L6P6F6C2;10;0;0;0.525018;1.31;0;3.65967264;0.02337816;0;0;0;5131.308;6268.5168;0;0;1295;208.5886608;0;0;3.1184088;0.00079248;0;5.190744;0.0006;0.52065936;0.05;2026-02-15T15:31:44.860207;0.41050464;6.062472;0;0.00039624;0.00237744;0;4178.3508;0;0;0;18.48340728;309.820056;0;0;0;0;0;0;0;0;0;;0;0;Скопирован из T2-L6P6A2;0;0;0;0;0;0.0001;0.787;0.0059;1.31;0;0.1036;0;1.53;0;0.0006;0.1314;0.1325;1295;0.0002;0;52.642;0;0;1054.5;0;1582;0;0;0;0;0.52065936;6268.5168;0;0.00237744;0;0;0.525018;208.5886608;0.00079248;0;0;0;5.190744;0;6.062472;4178.3508;0.02337816;5131.308;0.41050464;3.1184088;0.00039624;78.19;1.1917;4.6647;3.0176;2779.5;58.685;0.9236;0.2511;0.2241;1781.6667;0.2171;0.0693;0.0011;2.7033;10.71155592;0.99495864;7059.676132;0.27459432;3.65967264;232.533444;0.86023704;18.48340728;11013.4908;4.72199208;11.95693824;0.88797384;309.820056;0.00435864;True;0;0;396.24;0
T2-L6P6F6B1;207.339;5.7276;0.0071;0.0033;0.0385;0.0081;123;5.6569;0.162;0.013;0;0;497;[];3;0;2026-03-13T14:10:21.934617;144.395059;0.8149;0.0212;0;0;0;0;0;0;375.5;0.38454077;-323.5469174;0;0;0.1087;0;0;0;6.8453;3.679;0.0058;0;0.4384;0.0067;0.0056;0.2396;0.0204;37.7998;0.0017;10.1057;0.071;0.3929;0.0002;141.1;0.0714;2026-02-03T10:05:45.924295;T2-L6P6F6C1;0;0.0001;0;454.6584624;0.902;0.0003;54.12490044;2.557134209;0;0.006641907;0;1167448;8169.545655;0;0.013283814;17577;13771.26363;0.0002;0.0004;10.7598894;0.013283814;0.006641907;59.91000147;0.0008;1.354949035;0.05;2026-02-15T15:31:44.860286;0.4715754;4.715753996;0;0.371946794;0.053135256;0;9371.730828;0.026567628;0.019925721;0.0001;671.2111994;244.3557599;0;0;0;0;1;0;0;Масса образца (g) из пробы C;0;;0.0003;0.019925721;0;163.8757 - 73.372;0;0;0;0;0.0056;0.162;0.0385;0.902;0.0003;0.0071;0.0002;0.071;0;0.0008;0.0204;6.8453;17577;0.0002;0.0003;207.339;0.0004;0;141.1;0.0001;123;0;0.0001;0.006641907;0.019925721;1.354949035;8169.545655;0.006641907;0.053135256;0.013283814;0;454.6584624;13771.26363;0.013283814;0;0.026567628;0;59.91000147;0.019925721;4.715753996;9371.730828;2.557134209;1167448;0.4715754;10.7598894;0.371946794;3.679;0.2797;10.1057;0.3251;307.5;377.15;0.8149;9.047;0.0554;473.4333;0.0175;0.0079;0.0534;0.1427;9.478001341;600.8933296;31444.99966;0.524710656;54.12490044;25049.95239;1.162333731;671.2111994;20423.86414;18.57741398;21.59283978;3.679616498;244.3557599;3.546778357;0;149.0716;True;0;0
T2-L6P6F6B2;288.694;3.8184;0.0094;0.0026;0.051;0.0059;144;3.9598;0.167;0.0054;0;0;498;[];3;0;2026-03-13T14:10:21.934617;8.593125315;0.9702;0.0058;0;0;0;0;0;0;382.98;0.02243753;-524.1416246;0;0;0.1083;0;0;0;7.6298;3.1255;0.0012;0;0.0559;0.0067;0.0079;0.1144;0.0209;31.3154;0.0014;6.7533;0.096;0.3021;0.0002;198.6;0.0506;2026-02-03T10:05:45.924303;T2-L6P6F6C2;0;0.0002;0;30.2695418;1.314;0.0007;3.849053638;0.202331205;0;0.000396728;0;103022.2891;571.2881096;0;0.000793456;25968;1145.329511;0.0002;0.0004;0.662535516;0.000793456;0.000793456;5.213004;0.0013;0.082916121;0.05;2026-02-15T15:31:44.860364;0.037292418;0.38085874;0;0.0313415;0.005157462;0;787.9015178;0.001586911;0.002777095;0.0001;26.79222216;12.39972907;0;0;0;0;1;0;0;Масса образца (g) из пробы C;0;;0.0015;0.005950918;0;133.4204 - 35.96;0;0;0;0;0.0079;0.167;0.051;1.314;0.0015;0.0094;0.0002;0.096;0;0.0013;0.0209;7.6298;25968;0.0002;0.0007;288.694;0.0004;0;198.6;0.0002;144;0;0.0001;0.000396728;0.002777095;0.082916121;571.2881096;0.000793456;0.005157462;0.000793456;0;30.2695418;1145.329511;0.000793456;0;0.001586911;0;5.213004;0.005950918;0.38085874;787.9015178;0.202331205;103022.2891;0.037292418;0.662535516;0.0313415;3.1255;0.1735;6.7533;0.2383;223.5;320.8;0.9702;7.4877;0.0274;346.9667;0.0159;0.005;0.0534;0.1222;0.484801437;29.70579152;1376.513543;0.019836393;3.849053638;1272.702955;0.063079729;26.79222216;886.6867535;0.688322827;0.945402476;0.108703432;12.39972907;0.211852674;0;11.0059;True;0;0
T2-L6P6F6D1;226.8155;12.7986;0.0327;0.004;0.3444;0.003;103.5;8.2378;1.063;0.0129;0;0;499;[];3;0;2026-03-13T14:10:21.934617;41.36258809;0.9576;0.005;0;0;0;0;0;0;0;0;57.90762333;0;0;0.0994;0;0;0;5.9696;1.7745;0.0013;0;0.2722;0.0031;0.0061;0.11;0.0303;35.6315;0.0026;6.8347;0.069;0.165;0.0004;169.3;0.0753;0;0;0;0.0002;0;124.2042786;1.0655;0.0006;19.92395088;7.165631458;0;0.002080613;0.002080613;469864.8525;2153.434541;0;0.004161226;22583;4719.152967;0.0002;0.0005;22.11691707;0.008322452;0.004161226;22.1689324;0.001;0.630425764;0.05;2026-02-15T15:31:44.860441;0.680360478;1.435623027;0.0001;0.126917398;0.020806131;0;3522.477949;0.010403065;0.012483678;0.0001;142.2036624;36.92047916;0;0;0;0;0;0;0;0;0;;0.0004;0.008322452;0;0;0;0;0;0;0.0061;1.063;0.3444;1.0655;0.0004;0.0327;0.0002;0.069;0;0.001;0.0303;5.9696;22583;0.0004;0.0006;226.8155;0.0005;0.0001;169.3;0.0002;103.5;0;0.0001;0.002080613;0.012483678;0.630425764;2153.434541;0.004161226;0.020806131;0.004161226;0.002080613;124.2042786;4719.152967;0.008322452;0;0.010403065;0;22.1689324;0.008322452;1.435623027;3522.477949;7.165631458;469864.8525;0.680360478;22.11691707;0.126917398;1.7745;1.3204;6.8347;0.1463;143.325;229.25;0.9576;4.469;0.0449;297.2167;0.0398;0.0044;0.3486;0.0765;1.591669008;92.98259868;6183.929545;0.091546976;19.92395088;4769.805493;0.828084007;142.2036624;2982.038701;27.47241515;3.04393694;0.934195274;36.92047916;7.253017207;0;36.686;True;0;0
T2-L6P6F6D2;213.3395;0.9899;0.0452;0.0088;0.4632;0.0054;95.5;0.7778;1.665;0.0707;0;0;500;[];3;0;2026-03-13T14:10:21.934617;20.39275704;0.9269;0.0088;0;0;0;0;0;0;0;0;28.54985985;0;0;0.0989;0;0;0;7.1467;2.3163;0.0011;0;0.2917;0.0045;0.0074;0.1787;0.0341;43.3714;0.0018;9.956;0.0635;0.2608;0.0005;165.35;0.076;0;0;0;0.0002;0;73.6809488;1.0255;0.0006;9.556140798;4.775492952;0;0.001030979;0;129841.447;984.5845789;0;0.003092936;12594;2199.484626;0.0003;0.0006;17.16579397;0.005154893;0.002061957;10.57268571;0.0013;0.351563708;0.05;2026-02-15T15:31:44.860527;0.466002335;0.654671422;0;0.076292418;0.013402722;0;1704.723143;0.006185872;0.006185872;0.0001;102.6442311;23.8805577;0;0;0;0;0;0;0;0;0;;0.0005;0.005154893;0;0;0;0;0;0;0.0074;1.665;0.4632;1.0255;0.0005;0.0452;0.0003;0.0635;0;0.0013;0.0341;7.1467;12594;0.0005;0.0006;213.3395;0.0006;0;165.35;0.0002;95.5;0;0.0001;0.001030979;0.006185872;0.351563708;984.5845789;0.002061957;0.013402722;0.003092936;0;73.6809488;2199.484626;0.005154893;0;0.006185872;0;10.57268571;0.005154893;0.654671422;1704.723143;4.775492952;129841.447;0.466002335;17.16579397;0.076292418;2.3163;3.2202;9.956;0.2158;217.4;329.2;0.9269;8.1453;0.0767;438.9167;0.0826;0.0061;0.6784;0.1072;1.105209077;83.97630126;4525.137322;0.062889696;9.556140798;3393.981606;0.851588337;102.6442311;2241.347513;33.19957341;2.224851855;0.790760599;23.8805577;6.994158935;0;17.98;True;0;0
T2-L6P6F6Z2;36.632;0.2263;0.0775;0.0264;0.0075;0.0043;1151;105.3589;0.776;0.0439;0;0;501;[];3;0;2026-03-13T14:10:21.934617;0;0.9444;0.0049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0802;65.16;0.0198;0;0.2404;0.081;0.0002;0.4167;0.0758;41.1015;0.0347;1.1728;1.121;3.4896;0.0001;757.7;0.0987;0;0;10;0;0;0;0.886;0;0;0;0;0;0;0;0;0;0;388;0;0;0;0;0;0;0;0.0005;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0.0002;0.776;0.0075;0.886;0;0.0775;0;1.121;0;0.0005;0.0758;0.0802;388;0.0001;0;36.632;0;0;757.7;0;1151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65.16;1.36;1.1728;2.5675;2577.5;46.26;0.9444;0.1774;0.1493;1576.6667;0.1873;0.0587;0.0031;2.2517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2-L7P7F7A1;47.562;0.1202;0.2218;0.0339;0.0135;0.008;1582;458.9123;3.071;0.1886;0;0;502;[];3;0;2026-03-13T14:10:21.934617;0;0.9079;0.0066;0;0;0;0;0;0;417.332;0;-584.2648;0;0;0;0;0;0;3.7599;104.6;0.0204;0;5.0912;0.1237;0.0006;0.77;0.2218;197.0076;0.0679;15.61;1.702;4.9558;0.0002;1061.3;0.2491;2026-02-03T10:05:45.924308;T2-L7P7F7C1;10;0;0;15.69126587;0.371;0.0042;3.788957228;0.05633982;0;0;0;726.15768;6602.19224;0;0;174;198.4914458;0;0;12.81626572;0.000834664;0;1.54830172;0.0013;0.925642376;0.05;2026-02-15T15:31:44.860608;0.925642376;7.10299064;0;0.002503992;0.005425316;0;4429.144516;0;0.017527944;0;65.1455252;436.529272;0;0;0;0;0;0;0;0;0;;0.0235;0.09807302;Скопирован из T2-L7P7A1;0;0;0;0;0;0.0006;3.071;0.0135;0.371;0.0235;0.2218;0;1.702;0;0.0013;0.2218;3.7599;174;0.0002;0.0042;47.562;0;0;1061.3;0;1582;0;0;0;0.017527944;0.925642376;6602.19224;0;0.005425316;0;0;15.69126587;198.4914458;0.000834664;0;0;0;1.54830172;0.09807302;7.10299064;4429.144516;0.05633982;726.15768;0.925642376;12.81626572;0.002503992;104.6;6.3093;15.61;3.6527;3118.5;66.485;0.9079;7.015;0.4439;2148;0.4872;0.0888;0.0056;3.79;15.8168828;29.2758398;8964.29136;0.370590816;3.788957228;277.4631802;2.033241504;65.1455252;13014.49842;26.33072788;15.24388596;1.852536748;436.529272;0.023370592;True;0;0;417.332;0
T2-L7P7F7A2;44.837;0.1768;0.2646;0.0306;0.0136;0.0076;1715;412.2433;4.726;0.2618;0;0;503;[];3;0;2026-03-13T14:10:21.934617;0;0.8921;0.0058;0;0;0;0;0;0;420.232;0;-588.3248;0;0;0;0;0;0;6.2848;111.55;0.0243;0;5.0205;0.1404;0.0005;0.9677;0.2407;265.438;0.0605;20.51;1.816;5.6566;0.0003;1179.6;0.3236;2026-02-03T10:05:45.924316;T2-L7P7F7C2;10;0;0;26.41074074;0.169;0.003;3.748889672;0.057151552;0;0;0;668.16888;7206.9788;0;0;159;188.4194218;0;0;19.86016432;0.001260696;0;0.71019208;0.0018;1.011498424;0.05;2026-02-15T15:31:44.860684;1.111933872;7.63141312;0;0.00210116;0.007564176;0;4957.056672;0;0.01260696;0;86.1895832;468.768796;0;0;0;0;0;0;0;0;0;;0.0214;0.089929648;Скопирован из T2-L7P7A2;0;0;0;0;0;0.0005;4.726;0.0136;0.169;0.0214;0.2646;0;1.816;0;0.0018;0.2407;6.2848;159;0.0003;0.003;44.837;0;0;1179.6;0;1715;0;0;0;0.01260696;1.011498424;7206.9788;0;0.007564176;0;0;26.41074074;188.4194218;0.001260696;0;0;0;0.71019208;0.089929648;7.63141312;4957.056672;0.057151552;668.16888;1.111933872;19.86016432;0.00210116;111.55;9.8793;20.51;4.1592;3233.5;64.165;0.8921;11.98;0.4974;2330.6667;0.5745;0.1006;0.0053;4.077;17.13285864;50.3437936;9794.207287;0.422753392;3.748889672;269.6418628;2.41423284;86.1895832;13588.20172;41.51597998;17.47828934;2.090233968;468.768796;0.022272296;True;0;0;420.232;0
T2-L7P7F7Z1;42.309;0.2475;0.173;0.0236;0.0085;0.0045;1196;128.6934;2.981;0.1546;0;0;504;[];3;0;2026-03-13T14:10:21.934617;0;0.9329;0.0043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5159;82.205;0.0153;0;4.2073;0.0968;0.0003;0.5001;0.1549;73.0776;0.0387;3.287;1.284;4.1366;0.0001;857.3;0.1225;0;0;10;0;0;0;0.239;0.0013;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0.0012;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.008;0;0;0;0;0;0;0;0.0003;2.981;0.0085;0.239;0.008;0.173;0;1.284;0;0.0012;0.1549;1.5159;75;0.0001;0.0013;42.309;0;0;857.3;0;1196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82.205;6.1907;3.287;3.04;2727;58.515;0.9329;2.5897;0.3363;1771.3333;0.3847;0.0691;0.0032;2.906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2-L7P7F7Z2;48.6655;0.3748;0.2137;0.0285;0.0176;0.0286;1407.5;264.4579;4.2545;0.2798;0;0;505;[];3;0;2026-03-13T14:10:21.934617;0;0.9122;0.0046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.577;97.205;0.019;0;5.0841;0.1182;0.0008;0.6643;0.2112;159.587;0.0515;5.867;1.4605;5.0255;0.0002;941.75;0.2238;0;0;10;0;0;0;0.328;0.0053;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0.0016;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.0217;0;0;0;0;0;0;0;0.0008;4.2545;0.0176;0.328;0.0217;0.2137;0;1.4605;0;0.0016;0.2112;3.577;107;0.0002;0.0053;48.6655;0;0;941.75;0;1407.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97.205;9.287;5.867;3.6954;3012;79.745;0.9122;6.9727;0.467;2077;0.495;0.0846;0.0203;3.4567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2-L6P6F6N6A1;63.336;0.0849;0;0.0004;0.004;0.0005;4;0.0537;0.008;0.0004;0;0;506;[];3;0;2026-03-13T14:10:21.934617;0;1.037;0.0056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0844;6.8555;0.0004;0;0.1025;0.0002;0;0.0024;0.0021;10.8945;0.0001;0.1311;0.005;0.0052;0.0001;42;0.006;2026-02-03T10:05:45.924325;T2-L6P6F6N6C1;10;0;0;0;3.36;0.0001;0;0;0;0;0;0;0;0;0;1365;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0.008;0.004;3.36;0;0;0;0.005;0;0;0.0021;0.0844;1365;0.0001;0.0001;63.336;0;0;42;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.8555;0.0046;0.1311;0.0037;6.551;62.73;1.037;0.084;0.0088;79.71;0.0003;0.0004;0.0029;0.0081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2-L6P6F6N6A2;56.487;0.0919;0;0.0011;0.002;0.0012;12;0.099;0.005;0.0015;0;0;507;[];3;0;2026-03-13T14:10:21.934617;0;1.0123;0.007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0514;57.125;0.0006;0;2.7224;0.0005;0;0.0061;0.004;21.0814;0.0102;0.3449;0.414;0.0274;0.0001;79.4;0.0066;2026-02-03T10:05:45.924332;T2-L6P6F6N6C2;10;0;0;0;3.893;0;0;0;0;0;0;0;0;0;0;1210;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0.005;0.002;3.893;0;0;0;0.414;0;0;0.004;0.0514;1210;0.0001;0;56.487;0;0;79.4;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.125;0.0017;0.3449;0.0193;20.34;54.725;1.0123;0.0522;0.0077;167.7667;0.0011;0.0008;0.0014;0.6724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2-L6P6F6N6B1;335.101;4.5255;0.0105;0.0021;0.0378;0.0057;147;3.3234;0.195;0.0079;0;0;508;[];3;0;2026-03-13T14:10:21.934617;0;0.9592;0.0019;0;0;0;0;0;0;0;0;0;0;0;0.1041;0;0;0;5.0988;5.5245;0.0012;0;0.1181;0.0063;0.0055;0.1807;0.0221;33.4718;0.0011;9.3477;0.142;0.292;0.0002;174.6;0.0344;0;0;0;0.0001;0;0;1.083;0.0003;0;0;0;0;0;0;0;0;0;21034;0;0.0001;0.0003;0;0;0;0;0.0007;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-02-03T10:05:45.924328;Длина имени (13) > 11 символов;0;1;;0.0005;0;0;0;0;0;0;0;0.0055;0.195;0.0378;1.083;0.0005;0.0105;0.0001;0.142;0;0.0007;0.0221;5.0988;21034;0.0002;0.0003;335.101;0.0003;0;174.6;0.0001;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5245;0.1911;9.3477;0.2186;220.65;350.7;0.9592;5.1847;0.0268;310.3;0.015;0.0047;0.0345;0.172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2-L6P6F6N6B2;303.164;4.1719;0.0102;0.003;0.0322;0.0062;140;2.8991;0.167;0.0084;0;0;509;[];3;0;2026-03-13T14:10:21.935129;0;0.8862;0.0049;0;0;0;0;0;0;0;0;0;0;0;0.0955;0;0;0;4.3959;4.6305;0.0011;0;0.0997;0.0054;0.0051;0.1767;0.0259;35.9145;0.0012;9.7907;0.134;0.3063;0.0003;169.2;0.0289;0;0;0;0.0001;0;0;1.039;0.0003;0;0;0;0;0;0;0;0;0;44455;0;0.0001;0.0002;0;0;0;0;0.0006;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2026-02-03T10:05:45.924335;Длина имени (13) > 11 символов;0;1;;0.0007;0;0;0;0;0;0;0;0.0051;0.167;0.0322;1.039;0.0007;0.0102;0.0001;0.134;0;0.0006;0.0259;4.3959;44455;0.0003;0.0003;303.164;0.0002;0;169.2;0.0001;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.6305;0.1762;9.7907;0.2321;232.65;350.95;0.8862;4.8823;0.036;318.6333;0.0179;0.0065;0.032;0.1687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2-L7P7F7N7A1;45.043;0.2758;0;0.0011;0.0023;0.0011;10;0.0354;0.019;0.0008;0;0;510;[];3;0;2026-03-13T14:10:21.935129;0;1.011;0.0026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0809;60.26;0.0006;0;3.0971;0.0004;0.0002;0.0072;0.0017;25.5453;0.0088;0.3409;0.241;0.026;0;50.8;0.005;2026-02-03T10:05:45.924339;T2-L7P7F7N7C1;10;0;0;0;3.239;0.0003;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.0014;0;0;0;0;0;0;0;0.0002;0.019;0.0023;3.239;0.0014;0;0;0.241;0;0;0.0017;0.0809;85;0;0.0003;45.043;0;0;50.8;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60.26;0.0107;0.3409;0.0184;17.575;54.605;1.011;0.0666;0.0053;176.3667;0.0013;0.0007;0.0013;0.4477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2-L7P7F7N7A2;41.196;0.1344;0;0.0009;0.004;0.001;5;0.0495;0.018;0.0006;0;0;511;[];3;0;2026-03-13T14:10:21.935129;0;1.0057;0.0045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.049;63.795;0.0009;0;2.7224;0.0003;0.0001;0.0087;0.007;24.9802;0.0083;0.1853;0.238;0.0202;0;52.7;0.0046;2026-02-03T10:05:45.924346;T2-L7P7F7N7C2;10;0;0;0;3.463;0.0009;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.0029;0;0;0;0;0;0;0;0.0001;0.018;0.004;3.463;0.0029;0;0;0.238;0;0;0.007;0.049;70;0;0.0009;41.196;0;0;52.7;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.795;0.0181;0.1853;0.0143;12.875;48.375;1.0057;0.0506;0.0153;172.4;0.0013;0.0006;0.0042;0.4311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2-L7P7F7N7G1;50.025;0.1273;0.0016;0.0009;0.0202;0.0017;21;0.3182;0.045;0.0016;0;0;512;[];3;0;2026-03-13T14:10:21.935129;0;0.9984;0.0024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3101;53.71;0.0023;0;1.7961;0.0011;0.001;0.0104;0.0406;26.966;0.0067;0.5183;0.215;0.0583;0;64.9;0.0055;0;0;10;0;0;0;2.944;0.0101;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.0292;0;0;0;0;0;0;0;0.001;0.045;0.0202;2.944;0.0292;0.0016;0;0.215;0;0;0.0406;0.3101;97;0;0.0101;50.025;0;0;64.9;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.71;0.0639;0.5183;0.0412;44.335;61.27;0.9984;0.3868;0.084;187.7333;0.0048;0.0014;0.0327;0.4052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T2-L7P7F7N7G2;37.141;0.1131;0;0.0012;0.004;0.0012;7;0.0071;0.02;0.0005;0;0;513;[];3;0;2026-03-13T14:10:21.935129;0;1.0217;0.0032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0722;53.765;0.0009;0;2.2415;0.0004;0.0002;0.0047;0.0118;22.3003;0.0064;0.251;0.227;0.019;0;67.3;0.0054;0;0;10;0;0;0;2.876;0.0014;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.0062;0;0;0;0;0;0;0;0.0002;0.02;0.004;2.876;0.0062;0;0;0.227;0;0;0.0118;0.0722;101;0;0.0014;37.141;0;0;67.3;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.765;0.02;0.251;0.0134;15.585;43.29;1.0217;0.06;0.0222;152.4333;0.0014;0.0006;0.0049;0.4073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
