name;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Pb
T2-L3P3F3N3B2;6.4413;260.0;22610.0;1.044;395.91;0.1926;240.0;0.014;0.342;0.047;0.244;0.001232;0.00017;0.000247;0.00043;0.0006;0.000422;3.5e-05;3.2e-05;8.2e-05;4e-05;0.01037
T2-L3P3F3N3C1;12.805;550.0;64850.0;1.647;264.6;0.1462;275.0;0.948;21.467;4.897;0.655;0.009569;0.00156;0.002037;0.00363;0.00427;0.005329;0.000128;0.000136;0.000692;0.000133;0.01477
T2-L3P3F3N3C2;3.5704000000000002;100.0;1400.0;0.83;166.73;0.1255;135.0;0.008;0.19;0.028;0.179;0.004036;0.0001;0.000138;4e-05;0.00038;0.001034;1.2e-05;1.5e-05;3.9e-05;3e-06;0.02404
T2-L4A1;233.94;13000.0;34060.0;19.7;70.238;7.217;8374.0;1.068;31.388;7.984;1.15;0.0620408;0.01442;0.002721;0.0024;0.02244;0.005826;0.001512;0.00252;9.9e-05;0.000184;0.2122
T2-L4A2;207.36;11740.0;34060.0;16.278;73.6;6.489;7952.0;1.076;31.108;7.39;1.142;0.051940599999999996;0.01182;0.002163;0.00186;0.01754;0.004892;0.001434;0.002122;7.6e-05;7e-05;0.12728
T2-L4B1;9.1824;330.0;31120.0;1.999;63.573;0.2656;186.0;0.04;0.912;0.46;0.101;0.001255;0.00034;0.001308;0.00265;0.0011;0.000353;4.8e-05;6.4e-05;0.000464;6.2e-05;0.03286
T2-L4B2;13.302;370.0;10300.0;3.204;71.73;0.3039;208.0;0.047;1.057;0.554;0.102;0.001433;0.00039;0.001521;0.00282;0.00139;0.000711;9e-06;7.2e-05;0.000559;5.8e-05;0.04794
T2-L4P4A1;31.87;4420.0;53000.0;0.164;86.108;5.7554;6772.0;0.832;13.368;0.056;0.906;0.0061142;0.00028;7.6e-05;8e-05;0.00018;0.003554;2.4e-05;4.8e-05;9e-06;1e-05;0.00224
T2-L4P4A2;13.0718;4300.0;58780.0;0.268;98.504;6.4254;6722.0;0.934;14.588;0.046;1.02;0.0063362;0.00022;5.7e-05;6e-05;0.00018;0.003644;1e-05;2e-05;7e-06;1e-05;0.00216
T2-L4P4B1;8.467600000000001;280.0;35840.0;1.199;254.11;0.19019999999999998;273.0;0.027;0.862;0.3;0.092;0.001697;0.0003;0.000329;0.0006;0.00072;0.000714;3.4e-05;5.1e-05;0.000158;2.6e-05;0.01077
T2-L4P4B2;7.22;260.0;15590.0;1.142;258.73;0.15230000000000002;213.0;0.022;0.789;0.265;0.084;0.001578;0.00023;0.000271;0.00049;0.00062;0.000516;2.3e-05;4.1e-05;8.6e-05;2.4e-05;0.00978
T2-L4P4F4A1;27.548;4020.0;47680.0;0.922;91.924;5.2478;6252.0;0.722;14.518;0.032;0.846;0.005923;0.0002;5.8e-05;6e-05;0.00576;0.001304;1e-05;1.8e-05;6e-06;1e-05;0.01248
T2-L4P4F4A2;16.5976;3400.0;55100.0;1.024;87.114;4.977;5388.0;0.7;14.38;0.032;0.804;0.005202;0.00016;3.8e-05;4e-05;0.00016;0.001426;1e-05;8e-06;6e-06;1e-05;0.00216
T2-L4P4F4B1;10.953;270.0;31120.0;1.569;256.21;0.15830000000000002;286.0;0.02;0.55;0.083;0.187;0.002006;0.00039;0.000504;0.00085;0.00096;0.000495;4.7e-05;7.4e-05;0.000133;2.1e-05;0.01112
T2-L4P4F4B2;6.0051000000000005;240.0;3300.0;1.178;257.45;0.12840000000000001;165.0;0.015;0.436;0.049;0.074;0.000959;0.00017;0.000177;0.00029;0.00059;0.000459;1.1e-05;3.2e-05;5.2e-05;2.3e-05;0.0094
T2-L4P4F4D1;7.1798;220.0;680.0;1.498;154.68;0.0974;105.0;0.049;2.472;3.048;0.113;0.002064;0.00087;0.001137;0.00135;0.00137;0.001933;2.6e-05;7.8e-05;0.000389;2.6e-05;0.00752
T2-L4P4F4D1;7.0028999999999995;260.0;37160.0;0.74;362.74;0.3175;315.0;0.018;0.581;0.071;0.075;0.001248;0.00021;0.000275;0.00042;0.00077;0.000358;2.7e-05;3.9e-05;0.000104;3.1e-05;0.00962
T2-L4P4F4D2;11.652;410.0;30200.0;1.996;354.99;0.12969999999999998;199.0;0.085;4.492;3.657;0.156;0.003306;0.00111;0.001544;0.00256;0.00221;0.00358;0.000113;0.000107;0.000516;0.000109;0.01649
T2-L4P4F4D2;9.4985;390.0;19870.0;1.222;233.7;0.119;261.0;0.263;5.998;1.498;0.226;0.003027;0.00057;0.001055;0.00165;0.00138;0.001478;6e-05;7.3e-05;0.000395;8.4e-05;0.01523
T2-L4P4F4N3A1;0.1184;120.0;71460.0;9.906;107.622;0.1184;8.0;0.002;0.008;0.016;0.034;8.659999999999999e-05;1e-05;1.9e-05;1e-05;8e-05;9e-05;1e-05;0.0;5e-06;2.8e-05;0.0019
T2-L4P4F4N3A2;0.14759999999999998;180.0;67440.0;9.878;115.652;0.273;18.0;0.002;0.03;0.024;0.036;9.6e-05;1e-05;1.8e-05;1e-05;0.00016;9.6e-05;1e-05;0.0;5e-06;6.4e-05;0.00204
T2-L4P4F4N4B1;7.2032;340.0;28730.0;2.85;478.31;0.3072;325.0;0.034;0.828;0.059;0.31;0.001441;0.00021;0.000246;0.00045;0.00188;0.000633;3.3e-05;4e-05;9e-05;0.000363;0.01124
T2-L4P4F4N4B1;5.1964;220.0;32540.0;0.792;323.34;0.1945;230.0;0.024;0.593;0.036;0.132;0.007046;0.00015;0.000167;0.00032;0.0004;0.001649;2e-05;2.9e-05;5.3e-05;3.3e-05;0.00694
T2-L4P4F4N4B2;6.226100000000001;290.0;32390.0;1.695;410.25;0.3092;272.0;0.03;0.734;0.056;0.229;0.001134;0.00018;0.000196;0.00036;0.00053;0.000425;2.1e-05;3.4e-05;6.7e-05;2.3e-05;0.00883
T2-L4P4F4N4B2;4.54;200.0;2930.0;0.743;291.31;0.1748;194.0;0.022;0.513;0.039;0.121;0.000871;0.00013;0.000137;0.00021;0.0004;0.000409;1.3e-05;2.4e-05;4.4e-05;2.9e-05;0.00665
T2-L5A1;205.8;12040.0;1160.0;13.456;112.742;7.425;8020.0;1.362;38.492;7.23;1.28;0.0545466;0.01182;0.002134;0.0018;0.01812;0.005526;0.00111;0.002104;7.3e-05;2e-05;0.27884
T2-L5A2;154.022;10100.0;880.0;10.094;107.644;5.8222;6482.0;1.274;36.56;5.564;1.112;0.03564;0.0075;0.001291;0.00104;0.01126;0.0038;0.000734;0.001348;4.28e-05;1e-05;0.21552
T2-L5B1;14.41;430.0;30510.0;3.555;92.546;0.4096;183.0;0.058;1.302;0.684;0.07;0.002338;0.00044;0.002082;0.0041;0.00163;0.000471;7.1e-05;8.8e-05;0.000766;0.000114;0.06524
T2-L5B2;14.184;480.0;19150.0;3.716;89.778;0.4001;162.0;0.055;1.237;0.678;0.132;0.001458;0.00042;0.002093;0.0041;0.00166;0.000422;6.6e-05;8.1e-05;0.000809;0.000193;0.06363
T2-L5P5F5A1;34.36;1760.0;55980.0;0.452;79.11;3.2894;2676.0;0.55;13.886;0.668;0.548;0.0041262;0.00014;3.3e-05;4e-05;0.00024;0.003024;1e-05;1e-05;1e-05;3.8e-05;0.00152
T2-L5S2;1.2841;360.0;12100.0;0.695;42.083;0.0541;38.0;0.06;4.366;2.762;0.213;0.001795;0.00076;0.001917;0.00297;0.00289;0.001802;3.3e-05;7e-05;0.000505;5.5e-05;0.0033
